,state_idx,action_idx,rank,mape,mae,mse,weight
206,68,2,1,0.3559228442070972,0.41259628651302876,0.19958044918426132,0.2819078947368421
207,69,0,3,1.930426250105345,0.48786335351251237,0.2858706948830461,0.2819078947368421
208,69,1,3,2.933170654432469,0.7740468851123343,0.6415212268385025,0.2819078947368421
209,69,2,3,2.3431448648580266,0.6086023446315616,0.4127439778225548,0.2819078947368421
210,70,0,1,0.45777860238606394,0.430956196240567,0.21054181627306642,0.2819078947368421
211,70,1,3,0.7117640326894709,0.5643648399531379,0.33435307562281696,0.2819078947368421
212,70,2,3,0.6294303099622273,0.5600212975859472,0.3412992637985892,0.2819078947368421
213,71,0,1,0.3449311836364071,0.43473912257871294,0.2341432814132686,0.215625
214,71,1,0,0.27246320834042853,0.353162943328841,0.1472655391436046,0.215625
215,71,2,1,0.3072583619684948,0.4313863402175712,0.24506551946355534,0.215625
216,72,0,0,0.6013604702003571,0.7224544242557002,0.799320678770776,0.5024671052631579
217,72,1,0,0.69710048869298,0.8148027359730117,0.9546002783421,0.5024671052631579
218,72,2,0,0.5845121763032327,0.7234798153472655,0.8047903834929627,0.5024671052631579
219,73,0,3,0.6775554821490509,0.2263207709555355,0.08235432033916976,0.2819078947368421
220,73,1,3,0.9346586580742691,0.4589290194473971,0.27536015435973493,0.2819078947368421
221,73,2,3,0.9423391178931974,0.35138317655263257,0.16560386837584215,0.2819078947368421
222,74,0,3,3.3808596851238324,0.7192601037831877,0.682374428538885,0.215625
223,74,1,3,2.7638632283350746,0.5888410798262748,0.4247481433674582,0.215625
224,74,2,3,3.2663581403764623,0.6748813605856093,0.607611146167998,0.215625
225,75,0,1,0.2827593984201117,0.1969910697432743,0.05764011706598976,0.2819078947368421
226,75,1,3,0.47947258592983916,0.38794138425647895,0.1962376002510142,0.2819078947368421
227,75,2,3,0.4920376795700019,0.30254009368084017,0.10441015045295497,0.2819078947368421
228,76,0,2,1.3172092771544126,0.4903111574285413,0.2897425138128304,0.215625
229,76,1,1,1.199108404760415,0.3598695697428247,0.1486207720762642,0.215625
230,76,2,1,0.8432087886442865,0.4917126977215338,0.2886960574296081,0.215625
231,77,0,3,3.3988108177983194,0.5031713936695765,0.30913520208626183,0.215625
232,77,1,3,3.406709825229784,0.4192267852021918,0.23472002512944568,0.215625
233,77,2,3,3.9388759354594,0.48950580695960033,0.33411159250311756,0.215625
234,78,0,1,0.3723626965445068,0.2494227754446079,0.0885492733999581,0.2819078947368421
235,78,1,2,0.5766319473942966,0.47481991150699154,0.28771150216552144,0.2819078947368421
236,78,2,2,0.5064565818877327,0.35939054986055435,0.16992101042054022,0.2819078947368421
237,79,0,1,0.531220430732048,0.38348785748669734,0.17460892339631773,0.2819078947368421
238,79,1,3,0.8597319123356136,0.5742185115971793,0.3634215542882911,0.2819078947368421
239,79,2,3,0.7312390600057762,0.5355256746370226,0.3063755631637732,0.2819078947368421
240,80,0,3,1.2293514196683482,0.5875346490704642,0.42574266718118814,0.215625
241,80,1,3,1.0185894906424806,0.467766819229648,0.2735067943246498,0.215625
242,80,2,3,1.253946471834346,0.5889536241440222,0.4172151273590529,0.215625
243,81,0,3,3.2441349498045984,0.3745758601591354,0.1745510871143416,0.2819078947368421
244,81,1,3,3.517204650839602,0.4554368937462421,0.24347702661355597,0.2819078947368421
245,81,2,3,4.531770970344746,0.46712171470774866,0.2600703345813223,0.2819078947368421
246,82,0,3,6.149099010135682,0.5904737021932043,0.4092660316104022,0.215625
247,82,1,3,5.368418586897801,0.4589955538575407,0.2707287926748695,0.215625
248,82,2,3,6.210141246207058,0.57583893248418,0.4040255419280043,0.215625
249,83,0,3,0.8105418568714103,0.5785309699866117,0.3967227088571183,0.2819078947368421
250,83,1,3,1.0543610197696704,0.7842335629158158,0.6486591622798409,0.2819078947368421
251,83,2,3,0.903858246872545,0.6627643632583757,0.47657349877401933,0.2819078947368421
252,84,0,3,1.3210057665053243,0.6251652118507028,0.4844368395410951,0.215625
253,84,1,3,1.06808295894118,0.5082508596379475,0.30662024473352717,0.215625
254,84,2,3,1.3163824335917016,0.6261248511670943,0.46231937501394443,0.215625
255,85,0,1,0.16210711139267225,0.21957449772677107,0.06471202625177731,0.5024671052631579
256,85,1,3,0.18682059923324681,0.23311184503169224,0.07070741505725542,0.5024671052631579
257,85,2,0,0.14901887375152537,0.21927442537733854,0.07100999784745508,0.5024671052631579
258,86,0,2,0.5587929805765821,0.3777165673946645,0.21959341394303786,0.2819078947368421
259,86,1,3,0.6554572623119949,0.5067000171298847,0.3219311335683951,0.2819078947368421
260,86,2,3,0.7362366580430639,0.43857739777960303,0.22049442422412294,0.2819078947368421
261,87,0,1,0.44083279528420033,0.4707827137948286,0.26713436763561466,0.215625
262,87,1,0,0.3181261421574182,0.3600806262335299,0.15522321047902266,0.215625
263,87,2,1,0.41116413697360193,0.4757956643443517,0.27329557284510725,0.215625
264,88,0,0,0.7047695574425482,0.6808368629956997,0.726203232609565,0.5024671052631579
265,88,1,0,0.7554729111552416,0.763982537609882,0.8887533242882618,0.5024671052631579
266,88,2,0,0.7857867860547652,0.6925383313740051,0.7550850438427364,0.5024671052631579
267,89,0,0,0.3798462360860848,0.4066838873007161,0.2317416827013177,0.2819078947368421
268,89,1,1,0.4480199044960001,0.5182120032223612,0.34968879330654135,0.2819078947368421
269,89,2,1,0.4449778647310261,0.4465783886226564,0.24086231557270046,0.2819078947368421
270,90,0,0,1.3113513443130678,0.5321384243365803,0.3469659068765821,0.215625
271,90,1,3,1.816017289233894,0.6565009408070944,0.517864345302125,0.215625
272,90,2,0,1.2758435453259886,0.5654401347960953,0.3796807276316108,0.215625
273,91,0,0,0.3533241721150675,0.39418058874793155,0.21434948106246346,0.2819078947368421
274,91,1,2,0.5375577906702328,0.6317805718619117,0.4576178701717244,0.2819078947368421
275,91,2,0,0.4162935018704183,0.4799549822154856,0.27095087156935965,0.2819078947368421
276,92,0,0,0.6887678933370734,0.7827978788734468,0.8641215321004153,0.5024671052631579
277,92,1,0,0.72889131226623,0.8588215509154701,1.0027722520620364,0.5024671052631579
278,92,2,0,0.6174461704054751,0.7641572458218526,0.8456118986110255,0.5024671052631579
279,93,0,1,0.5882812772764916,0.45725912846559513,0.2541871903330091,0.2819078947368421
280,93,1,2,0.63473876808149,0.6706322397033097,0.49783333566396176,0.2819078947368421
